time,app,code2xx,code4xx,code5xx,cpu,memory,replicas,request,response,scale
2016-03-11T17:08:07Z,eight-puzzle,142697,0,0,5.185,27,2,165,7,0
2016-03-11T17:09:07Z,eight-puzzle,143172,0,0,2.91,27,2,150,7,0
2016-03-11T17:10:03Z,eight-puzzle,143623,0,0,1.63,27,2,135,6,0
2016-03-11T17:11:02Z,eight-puzzle,144077,0,0,1.55,27,2,120,6,0
2016-03-11T17:12:01Z,eight-puzzle,144553,0,0,4.885,27,2,75,7,0
2016-03-11T17:12:59Z,eight-puzzle,145032,0,0,3.37,27,2,165,7,0
2016-03-11T17:13:59Z,eight-puzzle,145511,0,0,2.5249999,27,2,120,6,0
2016-03-11T17:14:56Z,eight-puzzle,145982,0,0,1.24,27,2,135,6,0
2016-03-11T17:15:57Z,eight-puzzle,146466,0,0,1.435,27,2,75,6,0
2016-03-11T17:16:55Z,eight-puzzle,146928,0,0,7.2650003,27,2,105,6,0
2016-03-11T17:17:55Z,eight-puzzle,147389,0,0,2.21,27,2,120,6,0
2016-03-11T17:18:53Z,eight-puzzle,147870,0,0,2.5700002,27,2,165,6,0
2016-03-11T17:19:53Z,eight-puzzle,148326,0,0,3.8100002,27,2,150,7,0
2016-03-11T17:20:50Z,eight-puzzle,148797,0,0,8.37,27,2,45,6,0
2016-03-11T17:21:50Z,eight-puzzle,149261,0,0,0.84000003,27,2,120,6,0
2016-03-11T17:22:46Z,eight-puzzle,149726,0,0,3.38,27,2,75,6,0
2016-03-11T17:23:46Z,eight-puzzle,150180,0,0,3.745,27,2,60,7,0
2016-03-11T17:24:42Z,eight-puzzle,150633,0,0,2.8899999,27,2,135,7,0
2016-03-11T17:25:41Z,eight-puzzle,151087,0,0,1.53,27,2,120,6,0
2016-03-11T17:26:40Z,eight-puzzle,151572,0,0,1.7249999,27,2,120,7,0
2016-03-11T17:27:38Z,eight-puzzle,152022,0,0,0.64,27,2,75,7,0
2016-03-11T17:28:38Z,eight-puzzle,152493,0,0,2.105,27,2,90,7,0
2016-03-11T17:29:35Z,eight-puzzle,152968,0,0,2.555,27,2,105,6,0
2016-03-11T17:30:35Z,eight-puzzle,153440,0,0,0.97,27,2,75,7,0
2016-03-11T17:31:31Z,eight-puzzle,153893,0,0,4.595,27,2,135,7,0
2016-03-11T17:32:30Z,eight-puzzle,154358,0,0,3.46,27,2,105,6,0
2016-03-11T17:33:28Z,eight-puzzle,154822,0,0,0.735,27,2,60,7,0
2016-03-11T17:34:27Z,eight-puzzle,155305,0,0,2.025,27,2,60,7,0
2016-03-11T17:35:26Z,eight-puzzle,155780,0,0,0.855,27,2,150,7,0
2016-03-11T17:36:25Z,eight-puzzle,156253,0,0,1.5,27,2,120,7,0
2016-03-11T17:37:24Z,eight-puzzle,156732,0,0,2.98,27,2,135,6,0
2016-03-11T17:38:21Z,eight-puzzle,157187,0,0,3.6,27,2,60,7,0
2016-03-11T17:39:21Z,eight-puzzle,157645,0,0,4.75,27,2,180,7,0
2016-03-11T17:40:17Z,eight-puzzle,158112,0,0,2.28,27,2,60,7,0
2016-03-11T17:41:15Z,eight-puzzle,158581,0,0,3.92,27,2,180,6,0
2016-03-11T17:42:14Z,eight-puzzle,159063,0,0,3.3600001,27,2,135,6,0
2016-03-11T17:43:12Z,eight-puzzle,159512,0,0,8.3,27,2,45,6,0
2016-03-11T17:44:12Z,eight-puzzle,159992,0,0,1.735,27,2,120,7,0
2016-03-11T17:45:09Z,eight-puzzle,160467,0,0,0.985,27,2,180,7,0
2016-03-11T17:46:09Z,eight-puzzle,160935,0,0,3.405,27,2,90,7,0
2016-03-11T17:47:06Z,eight-puzzle,161400,0,0,1.685,27,2,120,7,0
2016-03-11T17:48:05Z,eight-puzzle,161851,0,0,2.315,27,2,105,7,0
2016-03-11T17:49:03Z,eight-puzzle,162323,0,0,9.674999,27,2,150,7,0
2016-03-11T17:50:00Z,eight-puzzle,162777,0,0,4.11,27,2,75,7,0
2016-03-11T17:51:00Z,eight-puzzle,163243,0,0,2.67,26,2,150,7,0
2016-03-11T17:51:57Z,eight-puzzle,163709,0,0,3.415,27,2,150,7,0
2016-03-11T17:52:57Z,eight-puzzle,164179,0,0,1.225,27,2,150,6,0
2016-03-11T17:53:54Z,eight-puzzle,164649,0,0,1.79,27,2,135,7,0
2016-03-11T17:54:55Z,eight-puzzle,165118,0,0,0.855,27,2,60,7,0
2016-03-11T17:55:50Z,eight-puzzle,165564,0,0,1.07,27,2,180,7,0
2016-03-11T17:56:51Z,eight-puzzle,166027,0,0,1.9449999,27,2,135,6,0
2016-03-11T17:57:47Z,eight-puzzle,166483,0,0,0.825,27,2,90,6,0
2016-03-11T17:58:46Z,eight-puzzle,166944,0,0,0.975,27,2,30,6,0
2016-03-11T17:59:45Z,eight-puzzle,167416,0,0,6.2349997,27,2,105,7,0
2016-03-11T18:00:43Z,eight-puzzle,167885,0,0,1.27,27,2,135,6,0
2016-03-11T18:01:43Z,eight-puzzle,168355,0,0,1.58,27,2,105,7,0
2016-03-11T18:02:42Z,eight-puzzle,168831,0,0,0.96999997,27,2,45,6,0
2016-03-11T18:03:41Z,eight-puzzle,169295,0,0,21.6,26,2,105,7,0
